"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2019","1,119.12","1,114.00","1,122.96","1,113.70","","0.66%"
"01/03/2019","1,124.89","1,120.12","1,130.63","1,119.19","","0.52%"
"01/04/2019","1,115.85","1,125.89","1,128.06","1,115.44","","-0.80%"
"01/07/2019","1,116.66","1,116.40","1,121.17","1,114.66","","0.07%"
"01/08/2019","1,121.83","1,117.66","1,127.00","1,116.65","","0.46%"
"01/09/2019","1,117.18","1,122.83","1,124.89","1,116.80","","-0.41%"
"01/10/2019","1,116.79","1,118.18","1,122.24","1,115.99","","-0.03%"
"01/11/2019","1,117.23","1,117.79","1,120.61","1,113.05","","0.04%"
"01/14/2019","1,120.80","1,118.53","1,124.56","1,118.09","","0.32%"
"01/15/2019","1,121.50","1,121.80","1,125.02","1,117.89","","0.06%"
"01/16/2019","1,119.78","1,122.85","1,124.71","1,117.88","","-0.15%"
"01/17/2019","1,121.70","1,120.78","1,125.47","1,119.13","","0.17%"
"01/18/2019","1,125.08","1,122.70","1,126.67","1,119.93","","0.30%"
"01/21/2019","1,133.10","1,126.06","1,134.65","1,123.57","","0.71%"
"01/22/2019","1,130.77","1,134.10","1,134.49","1,128.42","","-0.21%"
"01/23/2019","1,125.46","1,131.77","1,132.94","1,125.42","","-0.47%"
"01/24/2019","1,127.75","1,126.46","1,131.34","1,125.01","","0.20%"
"01/25/2019","1,117.78","1,128.75","1,129.51","1,117.00","","-0.88%"
"01/28/2019","1,117.87","1,118.51","1,120.62","1,114.66","","0.01%"
"01/29/2019","1,117.01","1,118.87","1,122.80","1,115.44","","-0.08%"
"01/30/2019","1,110.04","1,118.01","1,119.67","1,109.15","","-0.62%"
"01/31/2019","1,111.40","1,111.04","1,114.79","1,108.59","","0.12%"
"02/01/2019","1,118.40","1,112.40","1,120.30","1,110.73","","0.63%"
"02/04/2019","1,118.86","1,119.15","1,122.71","1,117.97","","0.04%"
"02/05/2019","1,116.27","1,119.86","1,122.61","1,116.62","","-0.23%"
"02/06/2019","1,120.50","1,117.27","1,122.30","1,116.79","","0.38%"
"02/07/2019","1,123.81","1,121.80","1,127.18","1,119.85","","0.30%"
"02/08/2019","1,123.50","1,124.81","1,127.56","1,121.07","","-0.03%"
"02/11/2019","1,124.99","1,124.05","1,127.89","1,122.03","","0.13%"
"02/12/2019","1,120.29","1,125.99","1,127.84","1,120.51","","-0.42%"
"02/13/2019","1,124.59","1,121.29","1,126.35","1,119.37","","0.38%"
"02/14/2019","1,125.40","1,125.59","1,129.59","1,123.39","","0.07%"
"02/15/2019","1,125.44","1,126.40","1,130.89","1,125.11","","0.00%"
"02/18/2019","1,125.10","1,126.14","1,127.37","1,122.64","","-0.03%"
"02/19/2019","1,121.92","1,126.40","1,129.36","1,122.11","","-0.28%"
"02/20/2019","1,122.22","1,122.92","1,124.97","1,120.17","","0.03%"
"02/21/2019","1,124.63","1,123.22","1,127.53","1,121.67","","0.21%"
"02/22/2019","1,121.99","1,125.63","1,127.38","1,120.97","","-0.23%"
"02/25/2019","1,115.06","1,123.31","1,124.61","1,115.24","","-0.62%"
"02/26/2019","1,114.61","1,116.06","1,119.86","1,114.25","","-0.04%"
"02/27/2019","1,117.22","1,115.61","1,120.86","1,114.80","","0.23%"
"02/28/2019","1,124.60","1,118.20","1,126.44","1,116.95","","0.66%"
"03/01/2019","1,126.67","1,125.95","1,128.51","1,123.66","","0.18%"
"03/04/2019","1,125.46","1,127.66","1,128.38","1,123.39","","-0.11%"
"03/05/2019","1,124.81","1,126.46","1,129.74","1,124.64","","-0.06%"
"03/06/2019","1,127.38","1,125.81","1,130.53","1,125.12","","0.23%"
"03/07/2019","1,133.87","1,128.38","1,136.10","1,126.24","","0.58%"
"03/08/2019","1,132.90","1,134.87","1,138.07","1,131.51","","-0.09%"
"03/11/2019","1,130.77","1,134.10","1,137.00","1,130.96","","-0.19%"
"03/12/2019","1,127.44","1,131.77","1,132.85","1,126.84","","-0.29%"
"03/13/2019","1,129.50","1,128.44","1,134.33","1,127.39","","0.18%"
"03/14/2019","1,135.42","1,130.50","1,137.70","1,129.14","","0.52%"
"03/15/2019","1,134.70","1,136.42","1,139.61","1,132.14","","-0.06%"
"03/18/2019","1,131.52","1,135.05","1,137.04","1,130.55","","-0.28%"
"03/19/2019","1,129.96","1,132.52","1,134.05","1,128.22","","-0.14%"
"03/20/2019","1,125.05","1,130.89","1,133.10","1,123.48","","-0.43%"
"03/21/2019","1,127.41","1,126.05","1,130.98","1,123.90","","0.21%"
"03/22/2019","1,135.11","1,128.41","1,138.92","1,127.24","","0.68%"
"03/25/2019","1,131.86","1,135.82","1,136.72","1,131.79","","-0.29%"
"03/26/2019","1,134.87","1,132.86","1,136.72","1,130.35","","0.27%"
"03/27/2019","1,138.24","1,135.87","1,140.12","1,133.26","","0.30%"
"03/28/2019","1,134.95","1,139.24","1,140.31","1,135.13","","-0.29%"
"03/29/2019","1,136.10","1,136.05","1,138.60","1,134.37","","0.10%"
"04/01/2019","1,132.72","1,137.02","1,138.13","1,130.83","","-0.30%"
"04/02/2019","1,136.92","1,133.72","1,138.91","1,132.00","","0.37%"
"04/03/2019","1,133.67","1,137.40","1,138.30","1,132.67","","-0.29%"
"04/04/2019","1,135.83","1,134.67","1,138.98","1,133.09","","0.19%"
"04/05/2019","1,136.69","1,136.33","1,139.02","1,134.93","","0.08%"
"04/08/2019","1,141.98","1,137.55","1,146.91","1,136.10","","0.47%"
"04/09/2019","1,140.08","1,142.11","1,144.24","1,138.72","","-0.17%"
"04/10/2019","1,136.97","1,141.08","1,144.43","1,136.74","","-0.27%"
"04/11/2019","1,140.96","1,137.97","1,142.47","1,137.00","","0.35%"
"04/12/2019","1,133.72","1,141.96","1,143.22","1,132.38","","-0.63%"
"04/15/2019","1,134.10","1,134.72","1,136.28","1,131.66","","0.03%"
"04/16/2019","1,136.69","1,135.10","1,138.36","1,133.72","","0.23%"
"04/17/2019","1,131.28","1,137.69","1,138.16","1,131.40","","-0.48%"
"04/18/2019","1,136.61","1,132.28","1,138.80","1,131.68","","0.47%"
"04/19/2019","1,135.58","1,137.11","1,138.09","1,135.44","","-0.09%"
"04/22/2019","1,139.99","1,135.79","1,143.16","1,135.43","","0.39%"
"04/23/2019","1,142.11","1,140.99","1,145.53","1,138.84","","0.19%"
"04/24/2019","1,155.05","1,143.06","1,158.35","1,142.34","","1.13%"
"04/25/2019","1,159.01","1,156.05","1,166.10","1,155.78","","0.34%"
"04/26/2019","1,157.90","1,160.01","1,162.75","1,156.25","","-0.10%"
"04/29/2019","1,158.88","1,158.73","1,161.69","1,156.59","","0.08%"
"04/30/2019","1,163.25","1,159.89","1,169.69","1,158.64","","0.38%"
"05/01/2019","1,164.73","1,164.25","1,166.31","1,160.25","","0.13%"
"05/02/2019","1,166.16","1,165.73","1,168.52","1,160.58","","0.12%"
"05/03/2019","1,163.68","1,167.06","1,172.10","1,163.90","","-0.21%"
"05/06/2019","1,168.15","1,164.34","1,174.32","1,164.33","","0.38%"
"05/07/2019","1,172.22","1,169.15","1,174.40","1,165.96","","0.35%"
"05/08/2019","1,172.10","1,172.35","1,173.80","1,167.55","","-0.01%"
"05/09/2019","1,179.09","1,173.11","1,186.28","1,170.85","","0.60%"
"05/10/2019","1,174.20","1,180.09","1,183.47","1,173.38","","-0.41%"
"05/13/2019","1,187.78","1,175.20","1,190.75","1,175.20","","1.16%"
"05/14/2019","1,186.82","1,188.78","1,190.22","1,184.43","","-0.08%"
"05/15/2019","1,185.79","1,187.82","1,192.28","1,185.73","","-0.09%"
"05/16/2019","1,191.33","1,186.79","1,193.70","1,186.22","","0.47%"
"05/17/2019","1,193.73","1,192.33","1,196.46","1,189.01","","0.20%"
"05/20/2019","1,194.23","1,194.83","1,195.46","1,190.94","","0.04%"
"05/21/2019","1,191.78","1,194.74","1,196.80","1,191.24","","-0.21%"
"05/22/2019","1,190.37","1,192.78","1,197.09","1,187.86","","-0.12%"
"05/23/2019","1,188.80","1,190.76","1,194.68","1,188.00","","-0.13%"
"05/24/2019","1,184.77","1,189.80","1,191.72","1,185.07","","-0.34%"
"05/27/2019","1,183.55","1,185.65","1,187.38","1,182.11","","-0.10%"
"05/28/2019","1,187.94","1,184.54","1,190.37","1,182.85","","0.37%"
"05/29/2019","1,193.03","1,188.94","1,196.75","1,187.22","","0.43%"
"05/30/2019","1,188.73","1,194.03","1,194.83","1,187.33","","-0.36%"
"05/31/2019","1,187.80","1,189.73","1,193.79","1,188.03","","-0.08%"
"06/03/2019","1,178.92","1,188.80","1,191.20","1,178.28","","-0.75%"
"06/04/2019","1,177.56","1,179.72","1,184.88","1,177.16","","-0.12%"
"06/05/2019","1,179.84","1,178.11","1,182.98","1,173.89","","0.19%"
"06/06/2019","1,177.67","1,180.84","1,182.55","1,177.91","","-0.18%"
"06/07/2019","1,181.07","1,178.67","1,186.88","1,177.23","","0.29%"
"06/10/2019","1,183.02","1,181.76","1,188.03","1,180.05","","0.17%"
"06/11/2019","1,178.21","1,184.02","1,186.06","1,178.23","","-0.41%"
"06/12/2019","1,183.35","1,179.21","1,185.28","1,177.99","","0.44%"
"06/13/2019","1,182.32","1,183.53","1,187.57","1,181.36","","-0.09%"
"06/14/2019","1,186.78","1,183.32","1,188.40","1,181.63","","0.38%"
"06/17/2019","1,185.55","1,186.89","1,188.34","1,184.63","","-0.10%"
"06/18/2019","1,173.87","1,185.45","1,188.01","1,173.44","","-0.99%"
"06/19/2019","1,171.48","1,174.87","1,178.96","1,171.35","","-0.20%"
"06/20/2019","1,158.52","1,172.49","1,173.95","1,156.15","","-1.11%"
"06/21/2019","1,158.20","1,159.42","1,164.80","1,156.68","","-0.03%"
